x,y,z,red,green,blue
134937.511,521767.113,-37.406,,,
134937.718,521767.071,-37.405,,,
134938.694,521766.319,-37.406,,,
134939.065,521766.539,-37.405,,,
134938.99,521766.665,-37.400999999999996,,,
134938.764,521767.042,-37.408,,,
134938.683,521767.159,-37.396,,,
134939.054,521767.393,-37.403,,,
134939.094,521767.58,-37.415,,,
134938.787,521768.075,-37.418,,,
134937.477,521767.174,-37.413,,,
134937.678,521767.124,-37.413,,,
134938.84,521765.808,-37.405,,,
134938.956,521766.725,-37.408,,,
134938.457,521767.79,-37.421,,,
134939.019,521767.452,-37.400999999999996,,,
134939.09,521767.321,-37.415,,,
134939.133,521767.527,-37.407,,,
134938.022,521766.527,-37.46,,,
134937.938,521768.005,-37.456,,,
134937.856,521768.136,-37.461,,,
134939.769,521767.27,-37.486,,,
134938.507,521766.821,-37.466,,,
134938.96,521768.093,-37.415,,,
134937.264,521766.833,-37.413,,,
134938.78,521766.448,-37.411,,,
134938.579,521766.497,-37.400999999999996,,,
134937.196,521766.953,-37.409,,,
134937.491,521767.791,-37.416,,,
134938.355,521766.098,-37.415,,,
134937.303,521766.974,-37.400999999999996,,,
134938.247,521766.076,-37.405,,,
134937.656,521766.345,-37.44,,,
134938.206,521766.006,-37.421,,,
134938.126,521766.125,-37.436,,,
134938.173,521766.202,-37.419,,,
134937.587,521766.988,-37.419,,,
134938.027,521766.579,-37.456,,,
134937.945,521766.696,-37.435,,,
134937.567,521767.186,-37.416,,,
134938.543,521766.42,-37.391,,,
134938.391,521766.804,-37.446,,,
134938.315,521766.929,-37.433,,,
134938.743,521766.384,-37.399,,,
134938.441,521767.004,-37.43,,,
134938.662,521766.503,-37.405,,,
134938.919,521766.781,-37.452,,,
134938.057,521767.487,-37.411,,,
134937.949,521768.064,-37.442,,,
134939.113,521766.736,-37.444,,,
134938.372,521767.648,-37.417,,,
134938.074,521768.138,-37.43,,,
134938.424,521767.851,-37.437,,,
134938.318,521768.296,-37.431,,,
134939.033,521766.736,-37.412,,,
134938.439,521768.365,-37.447,,,
134938.801,521767.105,-37.400999999999996,,,
134938.725,521767.23,-37.397,,,
134938.415,521767.719,-37.419,,,
134939.09,521767.455,-37.396,,,
134940.018,521767.359,-37.419,,,
134939.182,521767.457,-37.418,,,
134939.124,521766.586,-37.408,,,
134939.051,521766.7,-37.414,,,
134938.819,521767.068,-37.403,,,
134938.756,521767.195,-37.398,,,
134938.989,521767.352,-37.418,,,
134939.046,521767.547,-37.411,,,
134938.921,521767.997,-37.415,,,
134937.551,521766.446,-37.431,,,
134938.148,521766.303,-37.441,,,
134937.916,521766.673,-37.439,,,
134938.346,521766.265,-37.422,,,
134938.286,521766.905,-37.437,,,
134938.398,521766.979,-37.425,,,
134939.161,521766.606,-37.422,,,
134939.081,521766.724,-37.428,,,
134937.926,521768.048,-37.454,,,
134938.349,521767.633,-37.429,,,
134938.539,521767.583,-37.448,,,
134937.971,521768.242,-37.456,,,
134938.394,521767.827,-37.431,,,
134938.163,521768.196,-37.429,,,
134939.102,521767.246,-37.446,,,
134938.289,521768.272,-37.435,,,
134938.408,521768.354,-37.44,,,
134938.769,521768.066,-37.411,,,
134939.698,521767.103,-37.447,,,
134938.966,521768.01,-37.43,,,
134938.618,521766.309,-37.412,,,
134939.824,521767.178,-37.443,,,
134938.481,521766.862,-37.446,,,
134938.667,521766.284,-37.429,,,
134937.672,521766.321,-37.441,,,
134937.367,521766.803,-37.427,,,
134937.217,521767.054,-37.437,,,
134938.2,521766.298,-37.438,,,
134937.612,521766.961,-37.437,,,
134937.455,521767.204,-37.43,,,
134937.969,521766.667,-37.436,,,
134938.026,521767.387,-37.429,,,
134938.927,521766.762,-37.435,,,
134937.892,521768.153,-37.449,,,
134938.396,521767.62,-37.427,,,
134938.017,521768.228,-37.436,,,
134938.439,521767.826,-37.42,,,
134938.456,521768.342,-37.447,,,
134938.899,521767.923,-37.422,,,
134939.743,521767.102,-37.444,,,
134938.93,521768.128,-37.433,,,
134939.199,521767.434,-37.428,,,
134938.591,521767.052,-37.445,,,
134937.951,521767.513,-37.434,,,
134938.459,521766.968,-37.431,,,
134937.311,521766.82,-37.411,,,
134938.294,521766.063,-37.403,,,
134938.22,521766.189,-37.417,,,
134937.487,521767.097,-37.408,,,
134937.689,521767.047,-37.409,,,
134937.608,521767.166,-37.415,,,
134938.096,521767.48,-37.409,,,
134938.687,521766.818,-37.528,,,
134938.653,521767.149,-37.407,,,
134938.848,521767.092,-37.408,,,
134938.469,521767.701,-37.417,,,
134939.025,521767.369,-37.406,,,
134939.07,521767.564,-37.408,,,
134938.844,521767.94,-37.406,,,
